date,Open,High,Low,Close,Adj Close,Volume
2010-07-19,167.100006,167.210007,162.699997,165.250000,165.250000,0
2010-07-20,165.029999,169.690002,164.570007,169.080002,169.080002,0
2010-07-21,171.059998,172.300003,167.710007,168.690002,168.690002,0
2010-07-22,169.619995,174.149994,169.619995,172.339996,172.339996,0
2010-07-23,172.389999,174.220001,171.809998,173.419998,173.419998,0
2010-07-26,173.490005,174.190002,171.199997,171.820007,171.820007,0
2010-07-27,171.550003,171.559998,164.750000,166.250000,166.250000,0
2010-07-28,165.770004,167.789993,165.270004,166.779999,166.779999,0
2010-07-29,167.229996,169.440002,166.020004,167.550003,167.550003,0
2010-07-30,167.089996,170.240005,166.940002,169.720001,169.720001,0
2010-08-02,170.639999,172.479996,169.070007,170.190002,170.190002,0
2010-08-03,170.100006,171.970001,169.839996,170.250000,170.250000,0
2010-08-04,170.720001,174.440002,170.720001,173.910004,173.910004,0
2010-08-05,173.789993,173.949997,172.110001,173.800003,173.800003,0
2010-08-06,173.649994,177.800003,173.649994,175.490005,175.490005,0
2010-08-09,175.820007,175.889999,173.449997,175.419998,175.419998,0
2010-08-10,174.550003,175.929993,171.580002,175.270004,175.270004,0
2010-08-11,174.259995,174.550003,170.139999,170.720001,170.720001,0
2010-08-12,171.130005,174.789993,171.020004,174.139999,174.139999,0
2010-08-13,173.869995,174.360001,172.029999,172.399994,172.399994,0
2010-08-16,172.889999,175.639999,172.770004,174.990005,174.990005,0
2010-08-17,175.110001,178.449997,175.100006,177.380005,177.380005,0
2010-08-18,177.149994,181.309998,175.380005,180.839996,180.839996,0
2010-08-19,180.919998,182.619995,177.690002,179.289993,179.289993,0
2010-08-20,178.740005,178.740005,175.149994,178.130005,178.130005,0
2010-08-23,178.369995,178.369995,175.309998,175.839996,175.839996,0
2010-08-24,174.039993,175.919998,171.619995,173.160004,173.160004,0
2010-08-25,173.250000,177.679993,172.860001,177.389999,177.389999,0
2010-08-26,178.039993,181.110001,178.020004,180.380005,180.380005,0
2010-08-27,180.770004,184.139999,178.619995,184.139999,184.139999,0
2010-08-30,184.089996,185.139999,182.750000,182.860001,182.860001,0
2010-08-31,183.100006,187.710007,183.100006,185.149994,185.149994,0
2010-09-01,186.020004,187.619995,183.809998,184.259995,184.259995,0
